label,n,cagr,vol,mdd,sharpe,cagr_mdd,navx,universe,lookback,top_n,rebal,gate
mom[raw ] all17 lb=252 top3 @ 10d,3835,20.21,48.15,-60.84,0.63,0.33,16.5,all17,252,3,10,False
mom[gate] big8 lb=252 top3 @ 3d,3835,20.2,45.09,-67.81,0.64,0.3,16.4,big8,252,3,3,True
mom[raw ] big8 lb=63 top3 @ 3d,3835,20.13,43.77,-83.28,0.64,0.24,16.3,big8,63,3,3,False
mom[gate] big8 lb=252 top1 @ 3d,3835,20.1,55.7,-77.64,0.61,0.26,16.2,big8,252,1,3,True
mom[raw ] all17 lb=252 top3 @ 21d,3835,20.0,48.91,-74.36,0.62,0.27,16.0,all17,252,3,21,False
mom[raw ] all17 lb=126 top4 @ 5d,3835,20.0,44.41,-59.54,0.63,0.34,16.0,all17,126,4,5,False
mom[raw ] big8 lb=126 top2 @ 10d,3835,19.99,50.27,-76.54,0.62,0.26,16.0,big8,126,2,10,False
mom[raw ] big8 lb=252 top1 @ 21d,3835,19.98,58.2,-71.38,0.61,0.28,16.0,big8,252,1,21,False
mom[gate] all17 lb=126 top4 @ 5d,3835,19.97,45.04,-64.15,0.63,0.31,16.0,all17,126,4,5,True
mom[gate] core6 lb=63 top4 @ 3d,3835,19.94,42.65,-72.76,0.64,0.27,15.9,core6,63,4,3,True
mom[gate] core6 lb=252 top2 @ 10d,3835,19.94,49.69,-72.62,0.62,0.27,15.9,core6,252,2,10,True
mom[gate] big8 lb=252 top2 @ 10d,3835,19.9,49.2,-70.19,0.62,0.28,15.8,big8,252,2,10,True
