,VOLT_RP,DONCHIAN_BO,VRP,BOND_DIP
2011-05-20,-0.06435516867814003,-0.03884226774650612,-0.03884226774650612,0.013674794859277695
2011-05-23,0.005076254108216836,0.0019242390988809532,0.0019242390988809532,-0.009733333416028223
2011-05-24,-0.02983065807986129,-0.0005,-0.020111110798442966,0.009311928675505454
2011-05-25,0.014000942299912573,0.0,0.004611974677407815,0.0041001254792720765
2011-05-26,0.048737740021923014,0.0,0.022266156043320384,0.005785553223247586
2011-05-27,-3.2497915220811495e-05,0.0,0.0,0.0
2011-05-30,0.05031603107844598,0.0,0.025148509290325416,-0.003383703893115375
2011-05-31,0.03024386796731655,0.0,0.008541990884919581,0.021898148080196744
2011-06-01,-0.05657442602479221,0.0,-0.0005,0.002491373485676851
2011-06-02,-0.027887438706299873,0.0,-0.02256697520055001,0.01159910440382017
2011-06-03,-0.02289134429403704,0.0,-0.011512964092541322,-0.016380025102556206
2011-06-06,-0.008947232782862791,0.0,-0.0005,0.001665410908145093
2011-06-07,-0.01887153052345045,0.0,-0.01351903229789625,0.013965078570624012
2011-06-08,-0.012136427294611294,0.0,-0.0005,0.005246751291664076
2011-06-09,-0.02070891177220617,0.0,-0.005787082809978694,-0.004240650610605523
2011-06-10,-0.034955082166578215,0.0,-0.019087171298678207,-0.006552192192052719
2011-06-13,0.00012756718880247922,0.0,0.012069575160678525,-0.014839179855038354
2011-06-14,-0.011173575077913646,0.0,-0.008152917970769558,-0.0015062465941233505
2011-06-15,-0.007140611798934343,0.0,-0.0005,0.028662233993108854
2011-06-16,0.014565096313071166,0.0,0.00824588936517684,-0.0003258993692524248
2011-06-17,-0.03258508193277266,0.0,-0.028858853231294668,0.005379090288510913
2011-06-20,0.030039241028854337,0.0,0.022829073357594654,-0.01155140142802169
2011-06-21,0.044459971207548035,0.0,0.0264340244897443,0.004304072755220156
2011-06-22,-0.05114485377783867,0.0,-0.0005,0.008406048695338564
2011-06-23,0.03985015100976486,0.0,0.0,0.011277993554849042
2011-06-24,-0.04240556600716398,0.0,0.0,0.006142041010571253
2011-06-27,0.03600984739202121,0.0,0.03449151461843897,-0.017992174749025258
2011-06-28,0.023696907514378363,0.0,-0.0005,-0.030099575103973653
2011-06-29,0.0100215856876315,0.0,0.0,-0.00455393692010253
2011-06-30,0.006611198296759141,0.0,0.0,-0.012537735047185472
2011-07-01,-3.856717263197454e-05,0.0,0.0,-0.0005
2011-07-04,0.0496121452069346,0.0,0.0,0.0
2011-07-05,0.02327220844089293,0.0,0.0,0.0
2011-07-06,0.026105761598595272,0.0,0.0,0.0
2011-07-07,0.00828757631187038,0.0,0.0,0.022979094339487804
2011-07-08,0.0023887473963366984,-0.010334499895091331,0.0,-0.0005
2011-07-11,-0.01879614222827107,-0.015437629037595602,0.0,0.010494410140690025
2011-07-12,0.008507185923019868,-0.0009865422016548386,0.0,-0.004382642919489532
2011-07-13,0.005744343677696203,-0.0003297400553765595,0.0,0.00032601280017185985
2011-07-14,-0.013488521184794107,-0.007136364130014949,0.0,-0.01043015688543647
2011-07-15,0.007705549710396807,-0.006082163029252574,-0.006582163029252575,0.020751025887505437
